attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
lf,LF,DP-FedAvg+Public,0.0,0.7193,0.0,1,,
lf,LF,DP-FedAvg+Public,0.1,0.6845,0.0,1,,
lf,LF,DP-FedAvg+Public,0.2,0.6315,0.0,1,,
lf,LF,DP-FedAvg+Public,0.3,0.5716,0.0,1,,
lf,LF,DP-FedAvg+Public,0.4,0.4998,0.0,1,,
lf,LF,DP-FedAvg+Public,0.49,0.4111,0.0,1,,
lf,LF,DP-FedAvg+Public,0.6,0.3163,0.0,1,,
lf,LF,FLTrust,0.0,0.7505,0.0,1,,
lf,LF,FLTrust,0.1,0.7471,0.0,1,,
lf,LF,FLTrust,0.2,0.748,0.0,1,,
lf,LF,FLTrust,0.3,0.7455,0.0,1,,
lf,LF,FLTrust,0.4,0.7456,0.0,1,,
lf,LF,FLTrust,0.49,0.7442,0.0,1,,
lf,LF,FLTrust,0.6,0.7425,0.0,1,,
lf,LF,FedVRDP,0.0,0.7739,0.0,1,1.0,
lf,LF,FedVRDP,0.1,0.7625,0.0,1,1.0,
lf,LF,FedVRDP,0.2,0.7374,0.0,1,1.0,
lf,LF,FedVRDP,0.3,0.6849,0.0,1,1.0,
lf,LF,FedVRDP,0.4,0.5466,0.0,1,1.0,
lf,LF,FedVRDP,0.49,0.3976,0.0,1,1.0,
lf,LF,FedVRDP,0.6,0.1608,0.0,1,1.0,
lf,LF,FedVRDP-10ep,0.0,0.835,0.0,1,1.0,
lf,LF,FedVRDP-10ep,0.1,0.8275,0.0,1,1.0,
lf,LF,FedVRDP-10ep,0.2,0.8096,0.0,1,1.0,
lf,LF,FedVRDP-10ep,0.3,0.7436,0.0,1,1.0,
lf,LF,FedVRDP-10ep,0.4,0.5858,0.0,1,1.0,
lf,LF,FedVRDP-10ep,0.49,0.401,0.0,1,1.0,
lf,LF,FedVRDP-10ep,0.6,0.1892,0.0,1,1.0,
lf,LF,FedVRDP-style,0.0,0.7542,0.0,1,1.0,
lf,LF,FedVRDP-style,0.1,0.7401,0.0,1,1.0,
lf,LF,FedVRDP-style,0.2,0.7231,0.0,1,1.0,
lf,LF,FedVRDP-style,0.3,0.6962,0.0,1,1.0,
lf,LF,FedVRDP-style,0.4,0.6307,0.0,1,1.0,
lf,LF,FedVRDP-style,0.49,0.4761,0.0,1,1.0,
lf,LF,FedVRDP-style,0.6,0.1597,0.0,1,1.0,
lf,LF,Krum,0.0,0.712,0.0,1,1.0,
lf,LF,Krum,0.1,0.7111,0.0,1,1.0,
lf,LF,Krum,0.2,0.7209,0.0,1,1.0,
lf,LF,Krum,0.3,0.7174,0.0,1,1.0,
lf,LF,Krum,0.4,0.7292,0.0,1,1.0,
lf,LF,Krum,0.49,0.736,0.0,1,1.0,
lf,LF,Krum,0.6,0.0156,0.0,1,1.0,
lf,LF,Median,0.0,0.7698,0.0,1,1.0,
lf,LF,Median,0.1,0.771,0.0,1,1.0,
lf,LF,Median,0.2,0.753,0.0,1,1.0,
lf,LF,Median,0.3,0.7617,0.0,1,1.0,
lf,LF,Median,0.4,0.7431,0.0,1,1.0,
lf,LF,Median,0.49,0.4787,0.0,1,1.0,
lf,LF,Median,0.6,0.0585,0.0,1,1.0,
lf,LF,SparseFed-style,0.0,0.8037,0.0,1,1.0,
lf,LF,SparseFed-style,0.1,0.7943,0.0,1,1.0,
lf,LF,SparseFed-style,0.2,0.7869,0.0,1,1.0,
lf,LF,SparseFed-style,0.3,0.7739,0.0,1,1.0,
lf,LF,SparseFed-style,0.4,0.705,0.0,1,1.0,
lf,LF,SparseFed-style,0.49,0.4589,0.0,1,1.0,
lf,LF,SparseFed-style,0.6,0.1247,0.0,1,1.0,
lf,LF,TrimmedMean,0.0,0.805,0.0,1,1.0,
lf,LF,TrimmedMean,0.1,0.7937,0.0,1,1.0,
lf,LF,TrimmedMean,0.2,0.7811,0.0,1,1.0,
lf,LF,TrimmedMean,0.3,0.766,0.0,1,1.0,
lf,LF,TrimmedMean,0.4,0.7451,0.0,1,1.0,
lf,LF,TrimmedMean,0.49,0.4717,0.0,1,1.0,
lf,LF,TrimmedMean,0.6,0.0602,0.0,1,1.0,
minmax,MinMax,AG-PTR,0.0,0.7605,0.012300000000000005,3,0.9,0.04746668747398626
minmax,MinMax,AG-PTR,0.1,0.7605,0.0,1,0.9388888888888888,
minmax,MinMax,AG-PTR,0.2,0.7584,0.0,1,0.8611111111111112,
minmax,MinMax,AG-PTR,0.3,0.7629,0.0,1,0.6333333333333333,
minmax,MinMax,AG-PTR,0.4,0.7300666666666666,0.014716430726685518,3,0.37222222222222223,0.050917507721731536
minmax,MinMax,AG-PTR,0.49,0.6524,0.0,1,0.1333333333333333,
minmax,MinMax,AG-PTR,0.6,0.0427,0.0,1,0.0,
minmax,MinMax,AG-PTR (pub=50),0.0,0.7513,0.0,1,0.8944444444444445,
minmax,MinMax,AG-PTR (pub=50),0.3,0.7469,0.0,1,0.6611111111111111,
minmax,MinMax,AG-PTR (pub=50),0.4,0.7458,0.0,1,0.3666666666666666,
minmax,MinMax,AG-PTR (pub=800),0.0,0.7686,0.0,1,0.9722222222222222,
minmax,MinMax,AG-PTR (pub=800),0.3,0.7389,0.0,1,0.8055555555555556,
minmax,MinMax,AG-PTR (pub=800),0.4,0.7339,0.0,1,0.4166666666666667,
minmax,MinMax,AnchoredClip-NoGate,0.0,0.8007,0.0,1,1.0,
minmax,MinMax,AnchoredClip-NoGate,0.1,0.7723,0.0,1,1.0,
minmax,MinMax,AnchoredClip-NoGate,0.2,0.7179,0.0,1,1.0,
minmax,MinMax,AnchoredClip-NoGate,0.3,0.6639,0.0,1,1.0,
minmax,MinMax,AnchoredClip-NoGate,0.4,0.5353,0.0,1,1.0,
