attack_key,attack,method,f,acc_mean,acc_std,n_seeds,accept_mean,accept_std
minsum,MinSum,SparseFed-style,0.1,0.7475,0.0,1,1.0,
minsum,MinSum,SparseFed-style,0.2,0.5786,0.0,1,1.0,
minsum,MinSum,SparseFed-style,0.3,0.4211,0.0,1,1.0,
minsum,MinSum,SparseFed-style,0.4,0.2494,0.0,1,1.0,
minsum,MinSum,SparseFed-style,0.49,0.1089,0.0,1,1.0,
minsum,MinSum,SparseFed-style,0.6,0.1615,0.0,1,1.0,
minsum,MinSum,TrimmedMean,0.0,0.8045,0.0,1,1.0,
minsum,MinSum,TrimmedMean,0.1,0.7232,0.0,1,1.0,
minsum,MinSum,TrimmedMean,0.2,0.5677,0.0,1,1.0,
minsum,MinSum,TrimmedMean,0.3,0.2602,0.0,1,1.0,
minsum,MinSum,TrimmedMean,0.4,0.2548,0.0,1,1.0,
minsum,MinSum,TrimmedMean,0.49,0.2813,0.0,1,1.0,
minsum,MinSum,TrimmedMean,0.6,0.1,0.0,1,1.0,
sf,SF,AG-PTR,0.0,0.7712,0.0,1,0.9166666666666666,
sf,SF,AG-PTR,0.1,0.7111,0.0,1,0.8111111111111111,
sf,SF,AG-PTR,0.2,0.7261,0.0,1,0.6944444444444444,
sf,SF,AG-PTR,0.3,0.712,0.0,1,0.5333333333333333,
sf,SF,AG-PTR,0.4,0.7038,0.0,1,0.3388888888888889,
sf,SF,AG-PTR,0.49,0.5758,0.0,1,0.0722222222222222,
sf,SF,AG-PTR,0.6,0.0427,0.0,1,0.0,
sf,SF,DP-FedAvg,0.0,0.6882,0.0,1,1.0,
sf,SF,DP-FedAvg,0.1,0.6151,0.0,1,1.0,
sf,SF,DP-FedAvg,0.2,0.5619,0.0,1,1.0,
sf,SF,DP-FedAvg,0.3,0.3758,0.0,1,1.0,
sf,SF,DP-FedAvg,0.4,0.2913,0.0,1,1.0,
sf,SF,DP-FedAvg,0.49,0.1,0.0,1,1.0,
sf,SF,DP-FedAvg,0.6,0.1,0.0,1,1.0,
sf,SF,FedVRDP,0.0,0.7776,0.0,1,1.0,
sf,SF,FedVRDP,0.1,0.6883,0.0,1,1.0,
sf,SF,FedVRDP,0.2,0.3326,0.0,1,1.0,
sf,SF,FedVRDP,0.3,0.2381,0.0,1,1.0,
sf,SF,FedVRDP,0.4,0.2481,0.0,1,1.0,
sf,SF,FedVRDP,0.49,0.1677,0.0,1,1.0,
sf,SF,FedVRDP,0.6,0.1,0.0,1,1.0,
sf,SF,FedVRDP-style,0.0,0.7541,0.0,1,1.0,
sf,SF,FedVRDP-style,0.1,0.3702,0.0,1,1.0,
sf,SF,FedVRDP-style,0.2,0.2489,0.0,1,1.0,
sf,SF,FedVRDP-style,0.3,0.2324,0.0,1,1.0,
sf,SF,FedVRDP-style,0.4,0.1741,0.0,1,1.0,
sf,SF,FedVRDP-style,0.49,0.1752,0.0,1,1.0,
sf,SF,FedVRDP-style,0.6,0.1,0.0,1,1.0,
sf,SF,Krum,0.0,0.7123,0.0,1,1.0,
