Dataset,Attack,Method,Percentage of Byzantine Cliets (%),Accuracy,Accept_Rate
Fashion-MNIST-IID,MinMax,FedVRDP,0.49,0.5016,1.0
Fashion-MNIST-IID,MinMax,FedVRDP,0.6,0.4492,1.0
Fashion-MNIST-IID,MinSum,FedVRDP,0.0,0.7739,1.0
Fashion-MNIST-IID,MinSum,FedVRDP,0.1,0.7134,1.0
Fashion-MNIST-IID,MinSum,FedVRDP,0.2,0.6648,1.0
Fashion-MNIST-IID,MinSum,FedVRDP,0.3,0.565,1.0
Fashion-MNIST-IID,MinSum,FedVRDP,0.4,0.4686,1.0
Fashion-MNIST-IID,MinSum,FedVRDP,0.49,0.5045,1.0
Fashion-MNIST-IID,MinSum,FedVRDP,0.6,0.4832,1.0
Fashion-MNIST-IID,LF,FedVRDP,0.0,0.7739,1.0
Fashion-MNIST-IID,LF,FedVRDP,0.1,0.7625,1.0
Fashion-MNIST-IID,LF,FedVRDP,0.2,0.7374,1.0
Fashion-MNIST-IID,LF,FedVRDP,0.3,0.6849,1.0
Fashion-MNIST-IID,LF,FedVRDP,0.4,0.5466,1.0
Fashion-MNIST-IID,LF,FedVRDP,0.49,0.3976,1.0
Fashion-MNIST-IID,LF,FedVRDP,0.6,0.1608,1.0
Fashion-MNIST-IID,FoE,FedVRDP,0.0,0.7739,1.0
Fashion-MNIST-IID,FoE,FedVRDP,0.1,0.764,1.0
Fashion-MNIST-IID,FoE,FedVRDP,0.2,0.7553,1.0
Fashion-MNIST-IID,FoE,FedVRDP,0.3,0.7152,1.0
Fashion-MNIST-IID,FoE,FedVRDP,0.4,0.642,1.0
Fashion-MNIST-IID,FoE,FedVRDP,0.49,0.1245,1.0
Fashion-MNIST-IID,FoE,FedVRDP,0.6,0.1,1.0
Fashion-MNIST-non-IID,ALIE,DP-FedAvg,0.0,0.6882,1.0
Fashion-MNIST-non-IID,ALIE,Median,0.0,0.7415,1.0
Fashion-MNIST-non-IID,ALIE,TrimmedMean,0.0,0.8045,1.0
Fashion-MNIST-non-IID,ALIE,Krum,0.0,0.7123,1.0
